Ano,Código Órgão Superior,Nome Órgão Superior,Código Função,Nome Função,Código Subfunção,Nome Subfunção,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
2020,33000,Ministério da Previdência Social,09,Previdência social,271,Previdência básica,-3218726499.79,50401375993.33,51422127169.020004
2020,25000,Ministério da Fazenda,28,Encargos especiais,845,Outras transferências,3581781031.98,25518092115.859997,26124687227.829998
2020,55000,Ministério do Desenvolvimento e Assistência,08,Assistência social,244,Assistência comunitária,-26234883234.190002,20522962587.54,20522426519.97
2020,28000,"Ministério do Desenvolvimento, Indústria, C",28,Encargos especiais,846,Outros encargos especiais,10193235553.96,10193235553.96,10193235553.96
2020,52000,Ministério da Defesa,05,Defesa nacional,122,Administração geral,1628769443.4,5111909264.74,7038032314.4
2020,25000,Ministério da Fazenda,28,Encargos especiais,843,Serviço da dívida interna,1565596189.3200004,6763038755.0,6759820757.59
2020,36000,Ministério da Saúde,10,Saúde,302,Assistência hospitalar e ambulatorial,2500169668.07,5071164116.47,5076405894.51
2020,40000,Ministério do Trabalho e Emprego,11,Trabalho,331,Proteção e benefícios ao trabalhador,1151707753.6999998,4460703975.45,4460704704.05
2020,25000,Ministério da Fazenda,28,Encargos especiais,847,Transferências para a educação básica,20030238.0,4218483197.76,4218483197.76
2020,36000,Ministério da Saúde,10,Saúde,301,Atenção básica,2904608294.26,4316395882.87,4164357298.25
2020,36000,Ministério da Saúde,10,Saúde,122,Administração geral,3432524084.47,4707741546.15,3967492519.28
2020,26000,Ministério da Educação,12,Educação,364,Ensino superior,2064672882.96,3486920227.14,3401698239.44
2020,52000,Ministério da Defesa,09,Previdência social,272,Previdência do regime estatutário,1149988481.66,2051147586.46,3149348412.28
2020,32000,Ministério de Minas e Energia,28,Encargos especiais,845,Outras transferências,13009002777.319998,3083014765.2200003,3083179139.83
2020,33000,Ministério da Previdência Social,08,Assistência social,242,Assistência ao portador de deficiência,653898798.5400001,2936483167.2200003,2927203471.7
2020,53000,Ministério da Integração e do Desenvolvime,28,Encargos especiais,846,Outros encargos especiais,832076209.64,2460912250.2,2460912250.2
2020,33000,Ministério da Previdência Social,08,Assistência social,241,Assistência ao idoso,852261841.7099999,2269138208.7999997,2261143612.73
2020,40000,Ministério do Trabalho e Emprego,08,Assistência social,331,Proteção e benefícios ao trabalhador,-10000000000.0,2196935379.36,2196935379.36
